State,District,Crop,Season,Year,Area_Hectares,Production_Tonnes,Yield_t_per_ha,Soil_Type,Water_Requirement,Climate,Fertilizer
Andhra Pradesh,Andhra Pradesh District,Soybean,Zaid,2018,11868,23142,1.95,Loam,Medium,Mountain,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Jute,Rabi,2018,3921,22428,5.72,Red,High,Semi-Arid,NPK
Andhra Pradesh,Andhra Pradesh District,Ragi,Rabi,2018,20558,111424,5.42,Alluvial,Low,Temperate,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Banana,Rabi,2018,26147,55170,2.11,Black,Medium,Tropical,Urea
Andhra Pradesh,Andhra Pradesh District,Onion,Zaid,2019,11767,66130,5.62,Clay Loam,Medium,Mountain,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Maize,Kharif,2019,24272,40776,1.68,Black,Low,Mountain,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Bajra,Zaid,2019,25374,76122,3,Sandy,Medium,Humid,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Ragi,Zaid,2019,4232,11891,2.81,Sandy,High,Semi-Arid,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Banana,Rabi,2019,18560,92243,4.97,Alluvial,Medium,Tropical,Urea
Andhra Pradesh,Andhra Pradesh District,Cotton,Kharif,2019,27648,56954,2.06,Clay Loam,High,Semi-Arid,NPK
Andhra Pradesh,Andhra Pradesh District,Banana,Kharif,2019,18531,46512,2.51,Red,Medium,Humid,Potash
Andhra Pradesh,Andhra Pradesh District,Onion,Rabi,2019,4245,15112,3.56,Alluvial,Low,Humid,NPK
Andhra Pradesh,Andhra Pradesh District,Apple,Rabi,2019,22468,35274,1.57,Alluvial,Low,Temperate,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Banana,Rabi,2019,14295,31877,2.23,Black,High,Temperate,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Sugarcane,Rabi,2019,14757,82639,5.6,Sandy,High,Humid,Potash
Andhra Pradesh,Andhra Pradesh District,Bajra,Kharif,2019,23818,86935,3.65,Black,High,Humid,NPK
Andhra Pradesh,Andhra Pradesh District,Rice,Rabi,2020,844,4253,5.04,Loam,High,Humid,Urea
Andhra Pradesh,Andhra Pradesh District,Coffee,Kharif,2020,10765,35416,3.29,Red,High,Semi-Arid,NPK
Andhra Pradesh,Andhra Pradesh District,Bajra,Zaid,2020,7551,37981,5.03,Sandy,High,Semi-Arid,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Bajra,Rabi,2020,6503,25621,3.94,Black,Low,Humid,NPK
Andhra Pradesh,Andhra Pradesh District,Bajra,Rabi,2020,3429,20333,5.93,Alluvial,High,Mountain,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Mustard,Kharif,2020,13295,77775,5.85,Red,Low,Humid,Potash
Andhra Pradesh,Andhra Pradesh District,Jowar,Zaid,2020,8555,25665,3,Clay Loam,High,Mountain,NPK
Andhra Pradesh,Andhra Pradesh District,Mustard,Kharif,2020,7714,12265,1.59,Laterite,Low,Humid,Potash
Andhra Pradesh,Andhra Pradesh District,Maize,Zaid,2020,24393,44883,1.84,Alluvial,Medium,Humid,Urea
Andhra Pradesh,Andhra Pradesh District,Jute,Kharif,2020,28767,154478,5.37,Clay Loam,Medium,Tropical,Potash
Andhra Pradesh,Andhra Pradesh District,Groundnut,Kharif,2020,6384,31856,4.99,Sandy,Medium,Humid,NPK
Andhra Pradesh,Andhra Pradesh District,Potato,Rabi,2020,27851,157079,5.64,Black,Low,Temperate,Potash
Andhra Pradesh,Andhra Pradesh District,Wheat,Zaid,2021,26050,76066,2.92,Sandy,High,Mountain,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Groundnut,Kharif,2021,10295,35517,3.45,Alluvial,High,Temperate,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Maize,Rabi,2021,22850,133444,5.84,Clay Loam,Medium,Mountain,Urea
Andhra Pradesh,Andhra Pradesh District,Onion,Rabi,2021,15354,23798,1.55,Black,Medium,Semi-Arid,NPK
Andhra Pradesh,Andhra Pradesh District,Coconut,Zaid,2021,19197,30523,1.59,Red,High,Temperate,Potash
Andhra Pradesh,Andhra Pradesh District,Cotton,Rabi,2021,5038,13451,2.67,Laterite,High,Semi-Arid,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Apple,Kharif,2021,3424,8731,2.55,Black,High,Humid,Potash
Andhra Pradesh,Andhra Pradesh District,Rubber,Kharif,2021,22995,100718,4.38,Black,Medium,Semi-Arid,Urea
Andhra Pradesh,Andhra Pradesh District,Mustard,Zaid,2021,23858,80162,3.36,Clay Loam,High,Humid,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Wheat,Zaid,2021,2844,14020,4.93,Red,Low,Mountain,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Jowar,Zaid,2021,10288,47530,4.62,Red,Low,Semi-Arid,Potash
Andhra Pradesh,Andhra Pradesh District,Maize,Zaid,2021,28558,58543,2.05,Clay Loam,High,Semi-Arid,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Cotton,Zaid,2022,8711,29791,3.42,Loam,Low,Semi-Arid,Urea
Andhra Pradesh,Andhra Pradesh District,Tea,Kharif,2022,13082,49973,3.82,Clay Loam,High,Tropical,Potash
Andhra Pradesh,Andhra Pradesh District,Maize,Kharif,2022,26974,71481,2.65,Red,High,Tropical,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Apple,Zaid,2022,28088,164314,5.85,Loam,Low,Semi-Arid,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Coffee,Rabi,2022,26803,149292,5.57,Black,Medium,Semi-Arid,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Apple,Kharif,2022,16489,95965,5.82,Laterite,High,Mountain,Urea
Andhra Pradesh,Andhra Pradesh District,Sugarcane,Kharif,2022,22143,62664,2.83,Laterite,High,Mountain,NPK
Andhra Pradesh,Andhra Pradesh District,Soybean,Kharif,2022,17813,61811,3.47,Alluvial,High,Mountain,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Bajra,Kharif,2022,7270,16575,2.28,Clay Loam,Low,Humid,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Banana,Zaid,2022,25319,66588,2.63,Laterite,Low,Mountain,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Jute,Kharif,2022,14261,76296,5.35,Clay Loam,Medium,Temperate,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Sugarcane,Zaid,2022,26961,43407,1.61,Loam,Low,Mountain,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Cotton,Zaid,2023,2963,11111,3.75,Sandy,Medium,Semi-Arid,Potash
Andhra Pradesh,Andhra Pradesh District,Tea,Kharif,2023,25358,98389,3.88,Alluvial,Medium,Semi-Arid,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Jowar,Zaid,2023,18171,59964,3.3,Loam,High,Semi-Arid,NPK
Andhra Pradesh,Andhra Pradesh District,Coffee,Kharif,2023,13030,31532,2.42,Red,High,Mountain,Potash
Andhra Pradesh,Andhra Pradesh District,Soybean,Zaid,2023,15625,65625,4.2,Laterite,High,Humid,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Rubber,Kharif,2023,20817,93884,4.51,Red,High,Tropical,Urea
Andhra Pradesh,Andhra Pradesh District,Banana,Rabi,2023,14454,84844,5.87,Sandy,High,Mountain,NPK
Andhra Pradesh,Andhra Pradesh District,Jute,Zaid,2023,24937,65085,2.61,Red,High,Tropical,Urea
Andhra Pradesh,Andhra Pradesh District,Cotton,Rabi,2023,21266,106330,5,Sandy,Medium,Temperate,NPK
Andhra Pradesh,Andhra Pradesh District,Apple,Rabi,2023,831,2551,3.07,Sandy,High,Semi-Arid,Potash
Andhra Pradesh,Andhra Pradesh District,Jowar,Rabi,2023,5483,19629,3.58,Laterite,Low,Semi-Arid,Potash
Andhra Pradesh,Andhra Pradesh District,Wheat,Zaid,2023,9374,35621,3.8,Clay Loam,Medium,Tropical,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Maize,Kharif,2024,22023,76860,3.49,Clay Loam,High,Temperate,NPK
Andhra Pradesh,Andhra Pradesh District,Coffee,Zaid,2024,21339,98159,4.6,Red,Low,Mountain,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Mustard,Kharif,2024,29533,88599,3,Alluvial,High,Mountain,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Rubber,Kharif,2024,17261,69216,4.01,Black,Medium,Mountain,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Tea,Rabi,2024,20477,98903,4.83,Clay Loam,Medium,Temperate,Urea
Andhra Pradesh,Andhra Pradesh District,Bajra,Zaid,2024,28900,122825,4.25,Black,Medium,Mountain,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Rice,Zaid,2024,28410,157675,5.55,Laterite,Medium,Semi-Arid,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Bajra,Zaid,2024,6722,12301,1.83,Black,High,Semi-Arid,Potash
Andhra Pradesh,Andhra Pradesh District,Cotton,Rabi,2024,20365,117098,5.75,Clay Loam,Low,Temperate,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Rubber,Rabi,2024,12332,35639,2.89,Black,Low,Temperate,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Maize,Rabi,2024,3986,10044,2.52,Laterite,Low,Temperate,NPK
Andhra Pradesh,Andhra Pradesh District,Wheat,Kharif,2024,27024,113230,4.19,Loam,Low,Semi-Arid,Potash
Andhra Pradesh,Andhra Pradesh District,Apple,Rabi,2025,14992,45575,3.04,Alluvial,High,Temperate,NPK
Andhra Pradesh,Andhra Pradesh District,Mustard,Rabi,2025,13597,34672,2.55,Laterite,Low,Temperate,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Jowar,Rabi,2025,15657,62001,3.96,Black,Medium,Humid,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Jute,Kharif,2025,19951,39902,2,Alluvial,Low,Tropical,NPK
Andhra Pradesh,Andhra Pradesh District,Jute,Zaid,2025,10971,60340,5.5,Red,Low,Semi-Arid,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Cotton,Kharif,2025,26509,148715,5.61,Laterite,Low,Mountain,NPK
Andhra Pradesh,Andhra Pradesh District,Banana,Kharif,2025,12935,34148,2.64,Laterite,High,Humid,NPK
Andhra Pradesh,Andhra Pradesh District,Wheat,Kharif,2025,18095,32028,1.77,Alluvial,Medium,Tropical,Urea
Andhra Pradesh,Andhra Pradesh District,Maize,Zaid,2025,6729,10900,1.62,Black,High,Humid,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Rubber,Rabi,2025,13269,39541,2.98,Red,High,Temperate,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Wheat,Zaid,2025,19765,112858,5.71,Black,Medium,Semi-Arid,Potash
Andhra Pradesh,Andhra Pradesh District,Onion,Kharif,2025,21418,82459,3.85,Red,High,Semi-Arid,Potash
Arunachal Pradesh,Arunachal Pradesh District,Soybean,Rabi,2016,23819,130051,5.46,Loam,Low,Humid,Potash
Arunachal Pradesh,Arunachal Pradesh District,Maize,Kharif,2016,8743,20108,2.3,Black,Low,Temperate,Urea
Arunachal Pradesh,Arunachal Pradesh District,Wheat,Zaid,2016,2230,9745,4.37,Laterite,High,Humid,NPK
Arunachal Pradesh,Arunachal Pradesh District,Ragi,Kharif,2016,1814,3754,2.07,Laterite,High,Temperate,Urea
Arunachal Pradesh,Arunachal Pradesh District,Rubber,Rabi,2016,1306,6281,4.81,Alluvial,Medium,Humid,NPK
Arunachal Pradesh,Arunachal Pradesh District,Jowar,Kharif,2016,1620,8699,5.37,Loam,Medium,Humid,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Bajra,Kharif,2016,26536,85180,3.21,Sandy,High,Humid,NPK
Arunachal Pradesh,Arunachal Pradesh District,Coconut,Zaid,2016,28070,72982,2.6,Black,Medium,Humid,Potash
Arunachal Pradesh,Arunachal Pradesh District,Coffee,Kharif,2016,29851,123284,4.13,Black,High,Semi-Arid,Potash
Arunachal Pradesh,Arunachal Pradesh District,Onion,Zaid,2016,24072,127581,5.3,Loam,High,Mountain,NPK
Arunachal Pradesh,Arunachal Pradesh District,Jowar,Rabi,2016,24852,54922,2.21,Laterite,High,Humid,NPK
Arunachal Pradesh,Arunachal Pradesh District,Coconut,Kharif,2016,11817,24461,2.07,Alluvial,Medium,Mountain,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Coconut,Rabi,2017,10275,30105,2.93,Red,High,Mountain,Potash
Arunachal Pradesh,Arunachal Pradesh District,Rice,Rabi,2017,17740,36367,2.05,Loam,Medium,Humid,Potash
Arunachal Pradesh,Arunachal Pradesh District,Maize,Rabi,2017,15305,90452,5.91,Laterite,Medium,Semi-Arid,NPK
Arunachal Pradesh,Arunachal Pradesh District,Banana,Kharif,2017,26759,46828,1.75,Clay Loam,Medium,Mountain,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Mustard,Rabi,2017,23533,96014,4.08,Red,High,Humid,Urea
Arunachal Pradesh,Arunachal Pradesh District,Jowar,Rabi,2017,15723,65879,4.19,Clay Loam,High,Temperate,NPK
Arunachal Pradesh,Arunachal Pradesh District,Cotton,Zaid,2017,8696,39914,4.59,Black,Low,Temperate,Urea
Arunachal Pradesh,Arunachal Pradesh District,Apple,Zaid,2017,2141,11026,5.15,Loam,Medium,Tropical,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Bajra,Zaid,2017,2688,11665,4.34,Loam,Low,Tropical,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Groundnut,Kharif,2017,17260,92858,5.38,Clay Loam,Medium,Semi-Arid,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Mustard,Rabi,2017,29705,71292,2.4,Sandy,Low,Semi-Arid,Urea
Arunachal Pradesh,Arunachal Pradesh District,Tea,Kharif,2017,18341,102893,5.61,Sandy,Medium,Tropical,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Coconut,Zaid,2018,7098,10930,1.54,Sandy,Medium,Mountain,Urea
Arunachal Pradesh,Arunachal Pradesh District,Maize,Zaid,2018,13729,58622,4.27,Sandy,High,Mountain,Urea
Arunachal Pradesh,Arunachal Pradesh District,Wheat,Rabi,2018,12028,64109,5.33,Alluvial,Low,Humid,NPK
Arunachal Pradesh,Arunachal Pradesh District,Onion,Zaid,2018,4433,23051,5.2,Loam,Medium,Mountain,Potash
Arunachal Pradesh,Arunachal Pradesh District,Onion,Zaid,2018,9757,37759,3.87,Sandy,High,Semi-Arid,Potash
Arunachal Pradesh,Arunachal Pradesh District,Banana,Kharif,2018,10584,37467,3.54,Clay Loam,Medium,Mountain,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Onion,Kharif,2018,25813,152038,5.89,Red,High,Tropical,Urea
Arunachal Pradesh,Arunachal Pradesh District,Banana,Rabi,2018,1687,5330,3.16,Red,High,Tropical,NPK
Arunachal Pradesh,Arunachal Pradesh District,Maize,Rabi,2018,28232,42912,1.52,Laterite,Medium,Humid,Urea
Arunachal Pradesh,Arunachal Pradesh District,Ragi,Kharif,2018,13229,46962,3.55,Laterite,Medium,Temperate,Urea
Arunachal Pradesh,Arunachal Pradesh District,Cotton,Rabi,2018,1095,6548,5.98,Red,Low,Mountain,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Coconut,Rabi,2018,8951,51289,5.73,Loam,Medium,Humid,Urea
Arunachal Pradesh,Arunachal Pradesh District,Ragi,Kharif,2019,25960,145635,5.61,Loam,Medium,Semi-Arid,Urea
Arunachal Pradesh,Arunachal Pradesh District,Maize,Kharif,2019,2611,5430,2.08,Black,High,Tropical,NPK
Arunachal Pradesh,Arunachal Pradesh District,Bajra,Kharif,2019,5602,20503,3.66,Laterite,High,Temperate,NPK
Arunachal Pradesh,Arunachal Pradesh District,Maize,Kharif,2019,14514,61684,4.25,Clay Loam,Low,Mountain,Urea
Arunachal Pradesh,Arunachal Pradesh District,Tea,Kharif,2019,2041,11756,5.76,Loam,High,Semi-Arid,NPK
Arunachal Pradesh,Arunachal Pradesh District,Bajra,Rabi,2019,22931,63060,2.75,Sandy,High,Tropical,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Maize,Zaid,2019,28890,93892,3.25,Laterite,Medium,Mountain,Urea
Arunachal Pradesh,Arunachal Pradesh District,Coffee,Rabi,2019,4306,18214,4.23,Alluvial,Low,Semi-Arid,Potash
Arunachal Pradesh,Arunachal Pradesh District,Soybean,Rabi,2019,5976,22947,3.84,Loam,High,Humid,Urea
Arunachal Pradesh,Arunachal Pradesh District,Onion,Zaid,2019,7532,38036,5.05,Red,Medium,Tropical,NPK
Arunachal Pradesh,Arunachal Pradesh District,Tea,Rabi,2019,29504,172893,5.86,Alluvial,High,Semi-Arid,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Sugarcane,Rabi,2019,7989,30278,3.79,Loam,Low,Semi-Arid,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Cotton,Zaid,2020,8898,21177,2.38,Loam,High,Tropical,Potash
Arunachal Pradesh,Arunachal Pradesh District,Apple,Rabi,2020,17190,37302,2.17,Red,Medium,Semi-Arid,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Bajra,Rabi,2020,16599,40833,2.46,Clay Loam,Medium,Temperate,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Groundnut,Zaid,2020,20348,100112,4.92,Clay Loam,High,Semi-Arid,Potash
Arunachal Pradesh,Arunachal Pradesh District,Cotton,Zaid,2020,2405,9066,3.77,Loam,Low,Temperate,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Apple,Kharif,2020,16678,61041,3.66,Black,Low,Humid,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Maize,Zaid,2020,21316,83558,3.92,Alluvial,High,Temperate,NPK
Arunachal Pradesh,Arunachal Pradesh District,Mustard,Zaid,2020,18956,45494,2.4,Loam,Medium,Semi-Arid,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Rice,Rabi,2020,25855,41109,1.59,Sandy,High,Temperate,NPK
Arunachal Pradesh,Arunachal Pradesh District,Mustard,Rabi,2020,9680,44140,4.56,Red,High,Mountain,Urea
Arunachal Pradesh,Arunachal Pradesh District,Rice,Kharif,2020,4486,13368,2.98,Alluvial,Medium,Temperate,Potash
Arunachal Pradesh,Arunachal Pradesh District,Wheat,Zaid,2020,11870,21959,1.85,Alluvial,Medium,Humid,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Bajra,Kharif,2021,17854,30708,1.72,Alluvial,Low,Semi-Arid,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Mustard,Rabi,2021,3575,16301,4.56,Alluvial,High,Humid,NPK
Arunachal Pradesh,Arunachal Pradesh District,Tea,Zaid,2021,26831,135764,5.06,Sandy,Low,Mountain,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Coffee,Zaid,2021,3484,15887,4.56,Loam,High,Semi-Arid,Potash
Arunachal Pradesh,Arunachal Pradesh District,Coconut,Rabi,2021,18055,102913,5.7,Black,High,Humid,Potash
Arunachal Pradesh,Arunachal Pradesh District,Cotton,Kharif,2021,2267,9521,4.2,Black,Low,Temperate,Urea
Arunachal Pradesh,Arunachal Pradesh District,Bajra,Zaid,2021,18389,29238,1.59,Red,High,Humid,Urea
Arunachal Pradesh,Arunachal Pradesh District,Cotton,Zaid,2021,13714,64318,4.69,Red,Low,Mountain,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Onion,Zaid,2021,18702,99120,5.3,Clay Loam,High,Mountain,NPK
Arunachal Pradesh,Arunachal Pradesh District,Apple,Kharif,2021,10596,37086,3.5,Black,Low,Mountain,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Soybean,Rabi,2021,16362,86554,5.29,Red,Medium,Temperate,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Coffee,Kharif,2021,27800,96744,3.48,Clay Loam,Low,Humid,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Apple,Kharif,2022,768,3010,3.92,Sandy,High,Temperate,Urea
Arunachal Pradesh,Arunachal Pradesh District,Onion,Kharif,2022,29427,57676,1.96,Sandy,Medium,Mountain,Urea
Arunachal Pradesh,Arunachal Pradesh District,Bajra,Zaid,2022,12628,42177,3.34,Laterite,Low,Tropical,Urea
Arunachal Pradesh,Arunachal Pradesh District,Wheat,Kharif,2022,21670,101198,4.67,Sandy,Low,Tropical,Potash
Arunachal Pradesh,Arunachal Pradesh District,Cotton,Rabi,2022,17881,67768,3.79,Clay Loam,Medium,Mountain,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Jute,Zaid,2022,27360,126950,4.64,Black,Low,Mountain,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Groundnut,Zaid,2022,4314,21570,5,Red,Medium,Humid,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Wheat,Rabi,2022,20716,71677,3.46,Red,Medium,Humid,Urea
Arunachal Pradesh,Arunachal Pradesh District,Mustard,Kharif,2022,21305,90333,4.24,Alluvial,Medium,Tropical,Potash
Arunachal Pradesh,Arunachal Pradesh District,Groundnut,Rabi,2022,18294,80310,4.39,Red,High,Tropical,Potash
Arunachal Pradesh,Arunachal Pradesh District,Rice,Rabi,2022,16237,89952,5.54,Loam,Low,Semi-Arid,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Sugarcane,Rabi,2022,8638,26000,3.01,Loam,Low,Semi-Arid,Urea
Arunachal Pradesh,Arunachal Pradesh District,Tea,Zaid,2023,16642,73724,4.43,Loam,Low,Semi-Arid,Urea
Arunachal Pradesh,Arunachal Pradesh District,Coffee,Rabi,2023,18261,37252,2.04,Red,Low,Temperate,NPK
Arunachal Pradesh,Arunachal Pradesh District,Coffee,Kharif,2023,14086,28031,1.99,Loam,Low,Temperate,Urea
Arunachal Pradesh,Arunachal Pradesh District,Coffee,Rabi,2023,22363,84084,3.76,Black,Low,Mountain,NPK
Arunachal Pradesh,Arunachal Pradesh District,Bajra,Zaid,2023,1115,4002,3.59,Loam,High,Temperate,Potash
Arunachal Pradesh,Arunachal Pradesh District,Coffee,Kharif,2023,674,2662,3.95,Laterite,Low,Temperate,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Mustard,Zaid,2023,2992,14930,4.99,Black,Low,Semi-Arid,Potash
Arunachal Pradesh,Arunachal Pradesh District,Rice,Kharif,2023,17313,42936,2.48,Sandy,Low,Mountain,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Potato,Zaid,2023,23130,98302,4.25,Alluvial,Low,Semi-Arid,Urea
Arunachal Pradesh,Arunachal Pradesh District,Sugarcane,Rabi,2023,19079,83947,4.4,Alluvial,High,Tropical,Urea
Arunachal Pradesh,Arunachal Pradesh District,Wheat,Kharif,2023,17489,45121,2.58,Alluvial,Medium,Semi-Arid,Organic + NPK
Arunachal Pradesh,Arunachal Pradesh District,Coconut,Zaid,2023,5962,24921,4.18,Loam,Medium,Mountain,Urea
Arunachal Pradesh,Arunachal Pradesh District,Potato,Kharif,2024,26814,90631,3.38,Loam,Medium,Semi-Arid,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Jute,Kharif,2024,27268,74987,2.75,Red,High,Humid,DAP + Urea
Arunachal Pradesh,Arunachal Pradesh District,Apple,Rabi,2024,3241,15524,4.79,Black,Medium,Humid,Organic + NPK
